"지점명","위치","발생건수","사망자수","보 기","MOTOCY_CNT","CYCLE_CNT","WALK_CNT","DRK"
"서울여대입구 삼거리(남쪽)","서울 노원구 화랑로 621","3","0","","0","0","0","0"
"노원구민회관교차로","서울 노원구 하계동","6","1","","1","0","0","1"
"녹천중학교 부근 삼거리(서쪽)","서울 노원구 월계로 376","7","0","","0","0","0","0"
"상계역 삼거리(북쪽)","서울 노원구 상계로 182","7","0","","1","1","0","0"
"창동고 앞 삼거리(북서)","서울 도봉구 노해로62길 7","9","0","","1","1","0","0"
"우이교교차로(데시앙104동)","서울 도봉구 창동","12","0","","1","0","0","0"
"창동시장입구(강북힘찬병원)","서울 도봉구 창동 445-13","4","0","","0","0","0","0"
"삼성래미안2단지(202동 북쪽)","서울 도봉구 도봉로150길 42","10","0","","0","0","0","0"
"쌍문파출소 사거리(남쪽)","서울 도봉구 방학로3길 132","10","0","","0","1","0","0"
"창동역 사거리(1번출구 동쪽)","서울 도봉구 마들로11길 77","7","0","","0","0","0","0"
"방학역삼거리(1번출구 남서)","서울 도봉구 도봉로150다길 3","6","0","","2","0","0","0"
"서울오봉초 사거리(동쪽)","서울 도봉구 시루봉로 285","5","1","","1","1","0","0"
"도봉역사거리(1번출구 앞)","서울 도봉구 도봉로170길 2","6","0","","3","0","0","0"
"금호1차아파트 사거리(1동)","서울 관악구 대학18길 6","4","0","","1","1","0","0"
"노원교교차로(서단)","서울 도봉구 도봉동","7","0","","1","1","0","0"
"홈플러스 앞 사거리(방학점)","서울 도봉구 도봉로 678","7","0","","1","0","0","0"
"도봉보건소 사거리(남쪽)","서울 도봉구 방학로3길 117","6","0","","0","1","0","0"
"거성학마을아파트(101동)","서울 도봉구 도당로 116","6","0","","0","1","0","0"
"창동현대1차 앞(101동)","서울 도봉구 해등로16길 12","7","0","","1","0","0","0"
"도봉구민회관 앞 삼거리","서울 도봉구 도봉로 552","4","0","","1","0","0","0"
"서울숭미초 삼거리(남쪽)","서울 도봉구 노해로 179","5","0","","0","0","0","0"
"도봉산역 부근 삼거리(남쪽)","서울 도봉구 도봉로 948","5","0","","0","0","0","0"
